voteId,title,url,date,time,turnout,govWins,jacqui_lambie,glenn_lazarus,david_leyonhjelm,john_madigan,ricky_muir,nick_xenophon,dio_wang,bob_day
3446,National Security Legislation Amendment Bill (No. 1) 2014 - in Committee - Against increase in penalty for unauthorised disclosure,https://theyvoteforyou.org.au/divisions/senate/2014-09-25/6,2014-09-25,,71.1,gov_wins,government,government,greens,government,government,government,government,government
3447,National Security Legislation Amendment Bill (No. 1) 2014 - Third Reading - Pass the bill,https://theyvoteforyou.org.au/divisions/senate/2014-09-25/7,2014-09-25,9:31 PM,73.7,gov_wins,government,government,greens,greens,government,greens,government,government
3449,Motions — Iraq and Syria,https://theyvoteforyou.org.au/divisions/senate/2014-09-30/1,2014-09-30,1:03 PM,64.5,gov_wins,government,absent,absent,government,government,absent,government,government
3450,Committees - Certain Aspects of the Queensland Government Select Committee - Suspend standing orders,https://theyvoteforyou.org.au/divisions/senate/2014-09-30/2,2014-09-30,4:23 PM,80.3,gov_loses,labor,labor,government,absent,labor,labor,labor,government
3451,Committees - Certain Aspects of Queensland Government Administration - End debate on whether to include Bligh Government in inquiry,https://theyvoteforyou.org.au/divisions/senate/2014-09-30/3,2014-09-30,5:13 PM,78.9,gov_loses,labor,labor,government,government,labor,absent,labor,government
3452,Committees - Certain Aspects of Queensland Government Administration - Include Bligh Government in inquiry,https://theyvoteforyou.org.au/divisions/senate/2014-09-30/4,2014-09-30,5:21 PM,77.6,gov_loses,labor,labor,government,government,labor,absent,labor,government
3453,Committees - Certain Aspects of Queensland Government Administration - End debate on whether to create committee,https://theyvoteforyou.org.au/divisions/senate/2014-09-30/5,2014-09-30,5:21 PM,75.0,gov_loses,labor,labor,government,government,labor,absent,labor,government
3454,Committees - Certain Aspects of Queensland Government Administration - Create a select committee,https://theyvoteforyou.org.au/divisions/senate/2014-09-30/6,2014-09-30,5:25 PM,75.0,gov_loses,labor,labor,government,government,labor,absent,labor,government
3455,Documents — Toowoomba Bypass; Order for the Production of Documents,https://theyvoteforyou.org.au/divisions/senate/2014-09-30/7,2014-09-30,5:38 PM,77.6,gov_loses,labor,labor,labor,labor,labor,absent,labor,labor
3456,Motions — Gender Equality,https://theyvoteforyou.org.au/divisions/senate/2014-09-30/8,2014-09-30,5:45 PM,69.7,gov_wins,absent,absent,government,government,absent,absent,absent,government
3457,Motions - Local Content Broadcasting,https://theyvoteforyou.org.au/divisions/senate/2014-10-01/1,2014-10-01,3:50 PM,84.2,gov_loses,labor,labor,government,labor,labor,labor,labor,government
3458,Documents — Asylum Seekers; Order for the Production of Documents,https://theyvoteforyou.org.au/divisions/senate/2014-10-01/2,2014-10-01,3:55 PM,84.2,gov_loses,labor,labor,government,labor,labor,labor,labor,government
3459,Regulations and Determinations — Corporations Amendment (Streamlining Future of Financial Advice) Regulation 2014; Disallowance,https://theyvoteforyou.org.au/divisions/senate/2014-10-01/3,2014-10-01,6:34 PM,86.8,gov_wins,government,government,government,labor,government,labor,government,government
3461,Motions — Abbot Point,https://theyvoteforyou.org.au/divisions/senate/2014-10-02/1,2014-10-02,12:03 PM,67.1,gov_wins,greens,greens,greens,government,greens,absent,greens,government
3462,Motions — Electricity Network Companies,https://theyvoteforyou.org.au/divisions/senate/2014-10-02/2,2014-10-02,12:11 PM,84.2,gov_loses,labor,labor,labor,labor,labor,labor,labor,government
3463,Motions — Taxation,https://theyvoteforyou.org.au/divisions/senate/2014-10-02/3,2014-10-02,12:15 PM,81.6,gov_loses,labor,labor,government,labor,labor,labor,labor,government
3520,Motions — Estimates Committees,https://theyvoteforyou.org.au/divisions/senate/2014-06-25/9,2014-06-25,4:36 PM,77.6,gov_loses,absent,absent,absent,absent,absent,labor,absent,absent
3524,Bills — Minerals Resource Rent Tax Repeal and Other Measures Bill 2013 [No. 2],https://theyvoteforyou.org.au/divisions/senate/2014-07-17/17,2014-07-17,9:36 PM,89.5,gov_wins,government,government,government,labor,government,absent,government,government
3525,Bills — Minerals Resource Rent Tax Repeal and Other Measures Bill 2013 [No. 2],https://theyvoteforyou.org.au/divisions/senate/2014-07-17/18,2014-07-17,9:40 PM,85.5,gov_wins,government,government,government,government,government,absent,government,government
3526,Bills — Minerals Resource Rent Tax Repeal and Other Measures Bill 2013 [No. 2],https://theyvoteforyou.org.au/divisions/senate/2014-07-17/19,2014-07-17,9:45 PM,89.5,gov_wins,government,government,government,government,government,absent,government,government
3527,Bills — Minerals Resource Rent Tax Repeal and Other Measures Bill 2013 [No. 2]; in Committee,https://theyvoteforyou.org.au/divisions/senate/2014-07-17/20,2014-07-17,,88.2,gov_wins,government,government,labor,government,government,absent,government,labor
3528,Bills — Minerals Resource Rent Tax Repeal and Other Measures Bill 2013 [No. 2]; in Committee,https://theyvoteforyou.org.au/divisions/senate/2014-07-17/21,2014-07-17,10:10 PM,86.8,gov_loses,labor,labor,government,labor,labor,absent,labor,government
3529,Bills — Minerals Resource Rent Tax Repeal and Other Measures Bill 2013 [No. 2]; in Committee,https://theyvoteforyou.org.au/divisions/senate/2014-07-17/22,2014-07-17,10:18 PM,89.5,gov_wins,government,government,government,labor,government,absent,government,government
3530,Bills — Minerals Resource Rent Tax Repeal and Other Measures Bill 2013 [No. 2]; in Committee,https://theyvoteforyou.org.au/divisions/senate/2014-07-17/23,2014-07-17,10:30 PM,89.5,gov_loses,labor,labor,labor,labor,labor,absent,labor,labor
3531,Bills — Minerals Resource Rent Tax Repeal and Other Measures Bill 2013 [No. 2]; Third Reading,https://theyvoteforyou.org.au/divisions/senate/2014-07-17/24,2014-07-17,10:59 PM,86.8,gov_wins,government,government,government,government,government,absent,government,government
3532,Qantas Sale Amendment Bill 2014 - Second Reading - Agree the main idea of the bill,https://theyvoteforyou.org.au/divisions/senate/2014-07-17/25,2014-07-17,11:38 AM,88.2,gov_wins,greens,greens,government,greens,greens,absent,greens,government
3533,Bills — Qantas Sale Amendment Bill 2014; in Committee,https://theyvoteforyou.org.au/divisions/senate/2014-07-17/26,2014-07-17,11:58 AM,82.9,gov_wins,greens,greens,government,greens,greens,absent,greens,government
3534,Bills — Qantas Sale Amendment Bill 2014; in Committee,https://theyvoteforyou.org.au/divisions/senate/2014-07-17/27,2014-07-17,12:24 PM,71.1,gov_wins,absent,absent,government,greens,absent,absent,absent,government
3535,Bills — Qantas Sale Amendment Bill 2014; in Committee,https://theyvoteforyou.org.au/divisions/senate/2014-07-17/28,2014-07-17,12:29 PM,72.4,gov_wins,greens,greens,government,greens,greens,absent,greens,government
3536,Qantas Sale Amendment Bill 2014 - Third Reading - Pass the bill,https://theyvoteforyou.org.au/divisions/senate/2014-07-17/29,2014-07-17,12:34 PM,77.6,gov_wins,greens,greens,government,greens,greens,absent,greens,government
3537,"Bills — Asset Recycling Fund Bill 2014, Asset Recycling Fund (Consequential Amendments) Bill 2014; Consideration of House of Representatives Message",https://theyvoteforyou.org.au/divisions/senate/2014-07-17/30,2014-07-17,12:49 PM,82.9,gov_loses,labor,labor,government,absent,labor,absent,labor,government
3538,Bills — Minerals Resource Rent Tax Repeal and Other Measures Bill 2013 [No. 2]; Consideration of House of Representatives Message,https://theyvoteforyou.org.au/divisions/senate/2014-07-17/31,2014-07-17,,86.8,gov_loses,labor,labor,government,labor,labor,absent,labor,labor
3539,Regulations and Determinations — Migration Amendment (2014 Measures No. 1) Regulation 2014; Disallowance,https://theyvoteforyou.org.au/divisions/senate/2014-07-17/32,2014-07-17,2:21 PM,82.9,gov_wins,government,government,government,absent,government,absent,government,government
3543,Defence Legislation Amendment (Parliamentary Approval of Overseas Service) Bill 2014 - Second Reading - Agree with the bill's main idea,https://theyvoteforyou.org.au/divisions/senate/2014-09-04/1,2014-09-04,12:52 PM,86.8,gov_wins,government,government,greens,government,government,greens,government,government
3544,Committees — Selection of Bills Committee; Report,https://theyvoteforyou.org.au/divisions/senate/2014-09-04/2,2014-09-04,12:16 PM,78.9,gov_loses,absent,labor,labor,absent,labor,labor,labor,labor
3545,Motions — Australian Workforce,https://theyvoteforyou.org.au/divisions/senate/2014-09-04/3,2014-09-04,12:28 PM,69.7,gov_wins,absent,government,government,absent,government,absent,government,government
3546,Committees — Education and Employment References Committee; Reference,https://theyvoteforyou.org.au/divisions/senate/2014-09-04/4,2014-09-04,3:43 PM,60.5,gov_wins,absent,government,greens,greens,absent,greens,government,government
